movieId,title,genres
195,Breakfast of Champions (1999),Comedy
196,Just the Ticket (1999),Comedy|Romance
197,Christine (1983),Horror
198,Airport 1975 (1974),Drama
199,Analyze This (1999),Comedy
200,"Dreamlife of Angels, The (La Vie r�v�e des anges) (1998)",Drama
201,"Sticky Fingers of Time, The (1997)",Sci-Fi
202,Foolish (1999),Comedy
203,Lost & Found (1999),Comedy|Romance
204,"Little Bit of Soul, A (1998)",Comedy
205,Entrapment (1999),Crime|Thriller
206,Xiu Xiu: The Sent-Down Girl (Tian yu) (1998),Drama|Romance
207,"Midsummer Night's Dream, A (1999)",Comedy|Fantasy
208,It Conquered the World (1956),Sci-Fi
209,"Mole People, The (1956)",Sci-Fi
210,"Run Silent, Run Deep (1958)",War
211,"Blair Witch Project, The (1999)",Horror
212,"Velocity of Gary, The (1998)",Comedy|Romance
213,Twin Falls Idaho (1999),Drama
214,No Mercy (1986),Action|Thriller
215,Illuminata (1998),Comedy
216,Alice and Martin (Alice et Martin) (1998),Drama
217,Heaven Can Wait (1978),Comedy
218,Funny Farm (1988),Comedy
219,On the Ropes (1999),Documentary
220,"Astronaut's Wife, The (1999)",Sci-Fi|Thriller
221,Best Laid Plans (1999),Crime|Drama
222,Saturn 3 (1979),Adventure|Sci-Fi|Thriller
223,American Beauty (1999),Comedy|Drama
224,Caligula (1980),Drama
225,Sugar Town (1999),Comedy
226,Mumford (1999),Comedy
227,Napoleon and Samantha (1972),Adventure
228,"Five Wives, Three Secretaries and Me (1998)",Documentary
229,"Razor's Edge, The (1984)",Drama
230,Return with Honor (1998),Documentary
231,Sullivan's Travels (1942),Comedy
232,Indochine (1992),Drama|Romance
233,Someone to Watch Over Me (1987),Action|Crime|Thriller
234,"Straight Story, The (1999)",Drama
235,Body Shots (1999),Drama
236,Robocop 2 (1990),Action|Crime|Sci-Fi
237,Under the Rainbow (1981),Comedy
238,Anywhere But Here (1999),Drama
239,"Messenger: The Story of Joan of Arc, The (1999)",Drama|War
240,Felicia's Journey (1999),Thriller
241,British Intelligence (1940),Drama
242,March of the Wooden Soldiers (a.k.a. Laurel & Hardy in Toyland) (1934),Comedy
243,"Grapes of Wrath, The (1940)",Drama
244,"Natural, The (1984)",Drama
245,'Night Mother (1986),Drama
246,Tumbleweeds (1999),Drama
247,Sweet and Lowdown (1999),Comedy|Drama
248,"Great Santini, The (1979)",Drama
249,"Sea Wolves, The (1980)",Action|War
250,"7th Voyage of Sinbad, The (1958)",Action|Adventure|Fantasy
251,"Emperor and the Assassin, The (Jing ke ci qin wang) (1999)",Drama
252,Room at the Top (1959),Drama
253,"Third Miracle, The (1999)",Drama
254,Vampyros Lesbos (Las Vampiras) (1970),Horror
255,Smashing Time (1967),Comedy
256,Different for Girls (1996),Comedy
257,With Byrd at the South Pole (1930),Documentary
258,It Happened Here (1961),Drama
259,Buck and the Preacher (1972),Western
260,"Taking of Pelham One Two Three, The (1974)",Action
261,She-Devil (1989),Comedy
262,Date with an Angel (1987),Comedy|Fantasy
263,Baby... Secret of the Lost Legend (1985),Adventure|Sci-Fi
264,"Crimson Pirate, The (1952)",Adventure|Comedy|Sci-Fi
265,She's Gotta Have It (1986),Comedy|Romance
266,Do the Right Thing (1989),Comedy|Drama
267,"Champ, The (1979)",Drama
268,Death Wish 4: The Crackdown (1987),Action|Drama
269,Guess Who's Coming to Dinner (1967),Comedy|Drama
270,Whatever It Takes (2000),Comedy|Romance
271,True Grit (1969),Adventure|Western
272,Frequency (2000),Drama|Thriller
273,How to Stuff a Wild Bikini (1965),Comedy
274,Arthur (1981),Comedy|Romance
275,Third World Cop (1999),Action
276,"Big Kahuna, The (2000)",Comedy|Drama
277,Carnosaur (1993),Horror|Sci-Fi
278,"Lords of Flatbush, The (1974)",Comedy
279,Mission: Impossible 2 (2000),Action|Thriller
280,Shanghai Noon (2000),Action
281,Running Free (2000),Drama
282,Anguish (Angustia) (1986),Horror
283,"Blood Spattered Bride, The (La Novia Ensangrentada) (1972)",Horror
284,Mad Max Beyond Thunderdome (1985),Action|Sci-Fi
285,"Long Walk Home, The (1990)",Drama
286,Gone in 60 Seconds (2000),Action|Crime
287,Fun and Fancy Free (1947),Animation|Children's|Musical
288,"Kentucky Fried Movie, The (1977)",Comedy
289,Greaser's Palace (1972),Drama
290,Two Women (La Ciociara) (1961),Drama|War
291,Breaker Morant (1980),Drama|War
292,Thomas and the Magic Railroad (2000),Children's
293,Autumn in New York (2000),Drama|Romance
294,Space Cowboys (2000),Action|Sci-Fi
295,"Eyes of Tammy Faye, The (2000)",Documentary
296,"Ballad of Ramblin' Jack, The (2000)",Documentary
297,Goya in Bordeaux (Goya en Bodeos) (1999),Drama
298,Hellbound: Hellraiser II (1988),Horror
299,Return of the Fly (1959),Horror|Sci-Fi
300,"Slumber Party Massacre II, The (1987)",Horror
